snapshot,snapshot_date,destination_slug,region_slug,hotel,price_from_eur,stars,food,beach,airport,center,pool_verified_in_archived_card,direct_beach_verified,all_inclusive_verified,stars_verified,fully_verified,partial_candidate_without_pool,verification_notes,source_page,hotel_url
20250710064927,2025-07-10,turecko,antalya,Turunç Resort,708,4.5,---,0 m,1:00 h,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/egejska-riviera/hotel-turunc
20250710064927,2025-07-10,turecko,antalya,Adam & Eve Hotel,754,4.5,---,0 m,0:30 h,1 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/belek/hotel-royal-adam-eve
20250710064927,2025-07-10,turecko,antalya,Barut Hemera,802,4.5,---,0 m,1:15 h,3 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/side/hotel-barut-hemera-resort-spa
20250710064927,2025-07-10,turecko,antalya,Royal Holiday Palace,837,4.5,---,0 m,0:15 h,500 m,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/hotel-royal-holiday-palace
20250710064927,2025-07-10,turecko,antalya,Adalya Resort & Spa Adults Only,842,4.5,---,0 m,1:00 h,10 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/side/hotel-adalya-resort
20250710064927,2025-07-10,turecko,antalya,Delphin Be Grand Resort,899,4.5,---,0 m,0:15 h,15 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/hotel-rixos-lares
20250710064927,2025-07-10,turecko,antalya,Acanthus Cennet Barut Collection,901,4.5,---,0 m,1:15 h,1.5 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/side/hotel-barut-cennet-acanthus
20250710064927,2025-07-10,turecko,antalya,Cornelia Diamond Golf Resort & Spa,908,4.5,---,0 m,0:30 h,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/belek/hotel-cornelia-diamond-golf-resort
20250710064927,2025-07-10,turecko,antalya,Delphin Imperial Hotel,909,4.5,---,0 m,0:15 h,500 m,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/hotel-delhin-imperial
20250710064927,2025-07-10,turecko,antalya,Akra Sorgun Tui Blue Sensatori,959,4.5,---,0 m,1:15 h,3 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/side/barut-sorgun-sensatori
20250710064927,2025-07-10,turecko,antalya,Rixos Premium Tekirova,964,4.5,---,0 m,1:15 h,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/kemer/hotel-rixos-tekirova
20250710064927,2025-07-10,turecko,antalya,Ic Hotels Green Palace,995,4.5,---,0 m,0:15 h,25 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/hotel-ic-green-palace
20250710064927,2025-07-10,turecko,antalya,Rixos Premium Belek,1119,4.5,---,0 m,0:30 h,5 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/belek/hotel-rixos-premium-belek
20250710064927,2025-07-10,turecko,antalya,Trendy Side Beach,1138,4.5,---,0 m,1:15 h,3 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/side/trendy-hotel-side-beach
20250710064927,2025-07-10,turecko,antalya,Delphin Palace,1355,4.5,---,0 m,0:15 h,500 m,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/antalya/hotel-delphin-palace
20250710064927,2025-07-10,turecko,antalya,Gloria Serenity Resort,1495,4.5,---,0 m,0:45 h,- - -,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/belek/hotel-gloria-serenity-resort
20250710064927,2025-07-10,turecko,antalya,Maxx Royal Belek Golf Resort,1658,4.5,---,0 m,0:30 h,1 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/belek/hotel-maxx-royal-belek-golf-spa
20250710064927,2025-07-10,turecko,antalya,Regnum Carya,1826,4.5,---,0 m,0:30 h,1 km,False,True,False,True,False,False,4*+ v karte; pláž 0 m v karte,https://web.archive.org/web/20250710064927id_/https://dovolenka.sme.sk/last-minute/turecko/antalya,https://dovolenka.sme.sk/h/turecko/belek/hotel-regnum-carya-golf
